Year,Month,Fish,c13l,n15l,c13m,n15m,c13s,n15s,Location,Len,Weight,Sex,Age,Animal
2018,5,052218-094,-21.68,12.03,-17.29,13.31,-18.49,13.6,NB_ONE,25,228,F,3,BSB
2018,5,052218-095,-22.27,12.61,-18.24,13.07,-18.91,13.78,NB_ONE,28,352,F,4,BSB
2018,5,052218-096,-19.59,13.4,-17.62,14.73,-18.58,14.34,NB_ONE,31,414,M,4,BSB
2018,5,052218-097,-22.06,12.63,-17.83,14.38,-19.04,14.8,NB_ONE,29,372,F,4,BSB
2018,5,052218-098,-20.88,12.45,-18.19,14.08,-18.29,14.4,NB_ONE,24,234,F,3,BSB
2018,5,052218-099,-20.25,12.79,-19.53,15.83,-19.32,14.38,NB_ONE,20,121,F,2,BSB
2018,5,052218-100,-21.08,12.6,-18.67,14.7,-19.16,13.94,NB_ONE,25,221,F,3,BSB
2018,5,052218-101,-20.16,13.58,-17.74,14.41,-18.1,15.07,NB_ONE,36,591,M,6,BSB
2018,5,052218-102,-20.19,13.16,-17.09,14.83,,,NB_ONE,28,342,M,3,BSB
2018,5,052218-103,-20.69,12.14,-18.06,13.43,,,NB_ONE,25,223,F,3,BSB
2018,6,060518-001,-19.52,13.22,-17.75,14.1,,,BLEN,33,437,M,4,BSB
2018,6,060518-002,-19.98,13.23,-17.16,15.14,,,BLEN,29,338,F,3,BSB
2018,6,060518-003,-19.44,13.17,-18.21,15.85,,,BLEN,29,306,F,3,BSB
2018,6,060518-004,-19.67,12.97,-18.59,12.82,,,BLEN,33,510,M,5,BSB
2018,6,060518-005,-21.2,12.26,-18.14,14.49,,,BLEN,28,335,F,3,BSB
2018,6,060518-006,-19.28,12.04,-17.4,14.32,,,JJ,28,320,F,4,BSB
2018,6,060518-007,-19.52,13.58,-17.7,15.11,,,JJ,28,242,M,3,BSB
2018,6,060518-008,-20.1,12.91,-17.19,14.9,,,BLEN,29,335,F,3,BSB
2018,6,060518-009,,,,,,,BLEN,21,136,M,2,BSB
2018,6,060518-010,-21.1,13.11,-17.65,15.04,,,BLEN,33,528,F,4,BSB
2018,6,060518-011,-19.73,12.2,-17.23,14.37,,,BLEN,29,368,F,3,BSB
2018,6,060518-012,-21.18,12.15,-17.96,14.19,,,BLEN,25,241,F,3,BSB
2018,6,060518-013,-20.45,11.57,-18.12,13.43,,,BLEN,24,210,F,3,BSB
2018,6,060518-014,-19.94,11.06,-17.82,14.03,,,BLEN,27,293,F,2,BSB
2018,6,060518-015,-20.26,10.87,-19.14,15.67,,,BLEN,21,143,F,2,BSB
2018,6,060518-016,-20.22,13.96,-19.86,17.6,,,BLEN,23,191,F,2,BSB
2018,6,060518-017,-20.39,11.32,-18.26,12.92,,,BLEN,26,283,F,3,BSB
2018,6,060518-018,-19.61,12.2,-17.37,14.73,,,BLEN,28,395,F,4,BSB
2018,6,060518-019,-19.47,12.87,-18.61,13.48,,,BLEN,27,275,M,3,BSB
2018,6,060518-020,-19.5,11.54,-18.71,12.16,-19.28,12.13,BLEN,25,201,M,4,BSB
2018,6,060518-021,-18.96,13.2,-18.51,13.43,-18.64,13.91,BLEN,27,297,M,3,BSB
2018,6,060518-022,-19.91,13.9,-18.07,13.26,-18.65,13.75,BLEN,32,459,M,4,BSB
2018,6,060518-023,-20.01,12.56,-19.46,15.06,,,BLEN,19,99,F,2,BSB
2018,6,061518-001,-20.1,12.56,-19.55,15.82,-19.42,14.5,BLEN,22,214,F,2,BSB
2018,6,061518-002,-18.95,14.54,-16.66,15.45,,,BLEN,21,138,M,2,BSB
2018,6,061518-003,-20.83,13.13,-18.83,14.65,,,BLEN,24,218,F,2,BSB
2018,6,061518-004,-20.56,11.89,-18.41,14.85,,,NAVY,20,125,F,2,BSB
2018,6,061518-005,-22.39,11.4,-17.95,13.34,,,NAVY,17,81,M,2,BSB
2018,6,061518-006,-21.27,11.75,-18.15,14.27,-18.69,13.4,NAVY,25,260,F,3,BSB
2018,6,061518-007,-21.39,9.39,-18.39,11.79,-18.41,14.48,NAVY,20,127,F,2,BSB
2018,6,061518-008,-20.08,11.81,-18.52,12.57,-18.16,14.36,NAVY,29,324,M,4,BSB
2018,6,061518-009,-19.72,12.44,-17.46,13.57,-19.54,12.52,NAVY,27,282,M,3,BSB
2018,6,061518-010,-19.85,11.11,-17.94,13.68,-18.74,14.78,CARS,26,256,F,3,BSB
2018,6,061518-011,-18.38,14.08,-17.48,14.25,-18.45,14.11,CARS,39,725,M,4,BSB
2018,6,061518-012,-19.02,13.61,-17.28,14.51,,,CARS,25,250,F,3,BSB
2018,6,061518-013,-19.41,13.05,-18.03,13.93,,,CARS,33,495,M,5,BSB
2018,6,061518-014,-19.63,12.16,-18.47,14.18,,,CARS,24,192,F,2,BSB
2018,6,061518-015,-19.7,13.07,-18.54,14.41,,,CARS,27,257,M,3,BSB
2018,6,061518-016,-20.43,12.14,-19.2,14.34,,,CARS,22,183,F,2,BSB
2018,6,061518-017,-19.69,11.7,-17.88,13.51,,,CARS,20,127,F,3,BSB
2018,6,061518-018,-19.13,12.49,-18.34,13.55,,,CARS,24,185,M,3,BSB
2018,6,061518-019,-19.9,11.65,-18.1,11.88,,,CARS,26,295,F,3,BSB
2018,6,061518-020,-18.63,13.67,-17.49,13.96,,,CARS,36,613,M,4,BSB
2018,6,061518-021,-19.01,12.79,-18.12,13.86,,,CARS,26,293,F,4,BSB
2018,6,061518-022,-20.94,11.39,-19.03,12.09,,,CARS,22,188,M,3,BSB
2018,6,061518-023,-19.3,12.64,-18.56,13.17,,,CARS,28,252,M,3,BSB
2018,6,061518-024,-20.19,11.32,-18.26,12.95,,,CARS,25,244,F,4,BSB
2018,6,061518-025,-19.88,12.52,-19.47,15.37,,,CARS,18,86,M,3,BSB
2018,6,061518-026,-20.13,12.22,-18.96,13.72,,,CARS,24,201,M,4,BSB
2018,6,061518-027,-20.63,12.63,-17.89,14.53,,,CARS,26,296,F,3,BSB
2018,6,061518-028,-19.62,12.13,-18.34,13.59,,,CARS,30,343,F,2,BSB
2018,6,061518-029,-19.34,13.24,-18.1,13.85,,,CARS,32,444,M,2,BSB
2018,6,061518-030,-20.6,12.43,-17.54,14.97,-18.66,14.71,NAVY,30,473,F,5,BSB
2018,6,061518-031,-19.28,13.19,-17.93,13.65,-19.11,14.28,NAVY,28,314,M,3,BSB
2018,6,061518-032,-20.45,11.58,-17.67,14.24,,,NAVY,27,324,F,3,BSB
2018,6,061518-033,-20.19,11.87,-17.95,14.18,-19.07,12.86,NAVY,19,101,M,2,BSB
2018,6,061518-034,-20.13,11.27,-17.17,14.09,-18.91,13.3,NAVY,21,155,F,2,BSB
2018,6,061518-035,-20.6,12.56,-18.58,13.36,,,NAVY,28,312,M,4,BSB
2018,6,061518-036,-23.28,9.56,-18.84,13.06,,,NAVY,21,165,F,2,BSB
2018,6,061518-037,-19.46,13.37,-18.88,15.77,-19.09,14.67,CARS,21,132,F,2,BSB
2018,6,061518-038,-18.94,13.26,-17.08,14.99,-17.75,15.59,CARS,28,330,F,3,BSB
2018,6,061518-039,-19.54,13.13,-18.59,14.07,,,CARS,27,253,M,2,BSB
2018,6,061518-040,-19.42,11.99,-17.49,13.84,-18.55,13.29,CARS,28,83,F,2,BSB
2018,6,061518-041,-19.33,12.15,-17.3,14.54,-18.2,14.63,CARS,30,387,F,4,BSB
2018,6,061518-042,-19.32,12.77,-17.83,14.5,-18.45,14.63,CARS,29,346,F,3,BSB
2018,6,061518-043,-18.13,14.37,-17.38,14.8,-18,15.43,CARS,39,609,M,5,BSB
2018,6,061518-044,-18.99,13.48,-18.09,13.54,-18.35,14.65,CARS,29,338,M,4,BSB
2018,6,061518-045,-19.17,13.28,-18.04,14.04,,,CARS,30,380,M,4,BSB
2018,6,061518-046,-19.3,13.33,-17.63,13.9,,,CARS,33,458,M,,BSB
2018,6,061518-047,-18.64,13.33,-17.57,14.89,,,CARS,27,302,M,3,BSB
2018,6,061518-048,-19.21,12.7,-17.18,14.36,,,CARS,30,392,F,4,BSB
2018,7,070318-001,-19.45,12.77,-18.28,13.35,,,NB_ONE,29,290,M,3,BSB
2018,7,070318-002,-20.09,12.99,-18.65,12.86,,,NB_ONE,28,256,M,4,BSB
2018,7,070318-003,-20.47,13.23,-18.05,13.6,,,NB_ONE,32,404,M,4,BSB
2018,7,070318-004,-18.95,12.86,-18.11,13.02,,,NB_ONE,30,409,M,4,BSB
2018,7,070318-005,-20.63,12.59,-18.23,13.42,,,NB_ONE,26,236,M,3,BSB
2018,7,070318-006,-21.22,11.67,-18.74,13,,,NB_ONE,26,244,F,4,BSB
2018,7,070318-007,-21.1,13.62,-18.64,13.47,,,NB_ONE,29,285,M,4,BSB
2018,7,070318-008,-20.25,14.45,-20.27,17.09,,,NB_ONE,22,150,F,2,BSB
2018,7,070318-009,-20.54,12.59,-19.82,16.17,,,NB_ONE,24,228,F,2,BSB
